name,review_title,review,date
tammiejane1,Beautiful hotel,"Movenpick is a beautiful, upscale hotel in a good location, with friendly, knowledgeable, helpful staff. The rooms are spacious, clean,and have the most comfortable beds & pillows!! This hotel offers all the amenities you could want and the restaurant and pool, along with the view  is amazing!",Date of stay: October 2018
Sara in Dubai,,,
Vedamanickam,,,
coll612,New hotel and a great spot- Really good service a d superb rooms,Loved this hotel We got lucky and upgraded also ( thanks Blue Lankan Tours) Superb in every way - highly rated with loads of options available for all travellers Roof top bar with the infinity pool is also pretty special,Date of stay: October 2018
Sarah C,Huge room with views,"We had asked for a higher room but the South African Cricket Team had reserved them all, but as a result we were upgraded to a better room on a medium floor.  It had full size picture windows looking out towards the sea & was very spacious with enormous bed, desk, two seating areas & large bathroom with twin basins, a stand alone designer bathtub & loo behind a frosted glass semi-partition (had to be careful not to bump into this in the night).  Sitting in the bath was awesome, but because it was just in front of the huge window & right opposite were construction workers on a nearby building, it was wise to pull down the blind when bathing The lifts sometimes took a while to come (perhaps full of cricketers?) - & it was awesome to share one once with Q de K, as well as see the",Date of stay: August 2018
Elijah M,Love the wifi,"Mate WIFI is crazy good I could play Fortnite for ever I loved it so much and it's the same Wifi everywhere you could play it on the rooftop, at the reception and in the rooms and loved the bar and food and can't forget the Wifi. Great stay.",Date of stay: October 2018
Gureym,"great stay,","observed staff working in the reception, during the afternoon they stand in the sun coming through the glass Wall not allowed to close the curtain, and they are sweating in their suits.Its even hot for guests..",Date of stay: September 2018
Prasanna C,Super Buisness lunch venue,"We visited the hotel mainly for the lunch , it was on the 4th floor and the buffet served was a real treat and the foreign guests we were entertaining was very satisfied with the spread and the taste which was on offer, and the service and the attention to detail was really good",Date of stay: October 2018
FrequentFlier777215,Good Hotel,Best hospitality hotel in colombo. Very friendly staff and great service from all the employees. Reception Manager Arafatg was very helpful through out my stay. I would love to thank prasntha and dilp as well for the hospitality. Thank you very much Movenpick for the excellent service provider.,Date of stay: October 2018
Pankaj S,New property with beach view side 5-star hotel,"Well, situated in the heart of Colombo i.e. Dharmpala, it was always easy to move in every direction of the this beautiful city. Pubs, restaurants were very nearby and hence commuting has never been a problem. Talking about the property, it was very new with all the rooms were filled with nice aroma and size was equally as good as their washrooms. Roof top swimming pool with bar was a fascinating and a good time experience. Hotel staff was friendly and room service was prompt. Suggest you to take higher floors so that one can have panoramic view of the city. To tell you, in their recent Sri Lankan tour, Proteas (South African Cricket Team) stayed at 16th floor of this hotel, (while I was on 20th). So over all, a very pleasant stay with Hotel Movenpick.",Date of stay: July 2018
Antara Banikya,,,
kevinjeyaselan57,Modern hotel in Colombo,Modern hotel with good sized rooms and facilities including roof top pool.Excellent breakfast in dining room with good panoramic views of city. The staff were excellent always smiling friendly and helpful.Specialy Ramsheed really helpful and contributed greatly to our stay.The location is good for shopping and also in the city.We enjoyed our stay also good value. Thank you very much all movenpick staff special thanks to Mr.Ramsheed he was really helpful and great manager.,Date of stay: September 2018
thisara v,Best Hotel ever..,Best roof top bar in Colombo Vistas. We usually come to this place and tge best view of Colombo. Delicious foods. Service was fantastic. Danusha was there to take care of us.  Small lobby. But attractive.Specially I would mention the great service from the front office staff. I met a great personality at Movenpick. Mr. Dulaj. The Reception Manager on duty. Dont miss to talk to him when you come to Movenpick. I came to dine. Not to stay. But there is no difference in hospitality. Even as locals its the same genuine Hospitality. Welcome with a smile and had few words while he was escorting us to Vistas.  Thank you Dulaj for being a great example to everyone.  Same from all the front office staff. Busy but they pay their attention to each guest. Quick service from the vallet. Thank,Date of stay: September 2018
Mixumir W,Great!,"My first time stayin in movenpick. And at the end it was a great choice we made. To begin with, the staff at the reception and all around the hotel, so friendly and polite, offers assistance even without having to ask. We initially booked a king room, but the staff at the reception was excellent in selling an upgrade to us, which we loved as soon as we saw the suite. Well trained staff:)  The breakfast was excellent, with great many srilankan food being available and also the deliciousness of the food. The Japanese restaurant in the hotel is amazing. Last but not least, the location is ideal. If I am going to be in city while traveling to cmb, I will definetly choose to stay in movenpick again!  Thank you for the amazing experience with you!",Date of stay: September 2018
thitarmari,Best but hot,I have visited many time Sri Lanka but this was the best hotel. Nice and friendly staff. Specially the reception team. Dinesh and kawshalya were superb and very professional.Only bad thing was the lobby was very hot during the day.I don't know why they do not close the curtain,Date of stay: September 2018
kamalnath2018,Excellent staff specially kaushalya and dinesh,I'm staying the hotel for 3 or 4 days in this hotel with my friends. We are group and all of us so happy with the hotel and the staff because they are so good specially kaushalya and dinesh from reception give the best service and so attentive.we are coming back to this hotel.,Date of stay: September 2018
SDSO,,,
Manoj D,Good service,Recently I visited this wonderful place with my family and i must say the experience there is fabulous. Good food. Stunning view. Best service and so on. I must thank Dulaj for his assistant during our stay. I would of course come here again. And would highly recommend the Hotel for a decent stay.,Date of stay: September 2018
IshaniS,,,
awanthisaharma,Great Hospitality,"It was a nice location to spend with the family and the major plus point was the hospitality shown by the staff. The breakfast spread was excellent and the rooms were with  gret view. Specially to mention Ramsheed, Irshard, Sunith and Azmi was a great team to have to the hotel.",Date of stay: September 2018
480shanthanp,Excellent Service,I stayed with the family for a 3 days . Amazing rooms with beautiful bathroom facility . I have to give my special thanks to the Night Duty Manager Ramsheed. This guy is down to earth and very helpful. Arafath & Kaushalya were very polite . It was a wonderful stay at the hotel. Next time I will be staying only in movenpick colombo. Thanks again for the entire movenpick team colombo.,Date of stay: September 2018
Dinesh8749,Excellent service ! Beautiful place to be!!,It was our very first stay in a Colombo hotel and was a great stay. From the very beginning the service we had was excellent. The rooms and the surrounding of the hotel is really attractive. The rooftop bar is amazing and the food was really yummy. The most important thing is the excellent service we had from your staff. Specially Mr. Dulaj has an excellent sense of treating the guests in a very good manner. We would like to specially thank Mr. Dulaj for accommodating our needs and being so helpful and friendly. He went an extra mile to make our stay more comfortable. Thank you very much Dulaj and keep up the good hard work.  We recommend Movenpick to our friends and will visit again for sure.,Date of stay: September 2018
JoannetheExplorer,First time in Colombo,It was my first time in Colombo and I had a great stay. The hotel was nice and the staff were very accommodating. I would like to give extra thanks to Rashmeed for being so friendly and accommodating. He came out of his way to assist us and he made sure that we got everything we needed and made our stay at the hotel more comfortable. He even suggested places for us to visit while we were there. It was an exceptional service from Rashmeed and his staff. Thank you so much! :),Date of stay: September 2018
sanskarraut2014,Great service,We had a wonderful stay in Colombo. Everyone wad welcoming and happy to give us a Services.  Especially front desk Maria arfat mayira and gavesh.  They helped us alot from checkin to check out. Also rooftop bar is excellent enjoyed the view,Date of stay: September 2018
Ocean_1212,A day in Colombo,The room was very big and cleaned. Few things gave an average impression like the bath mats warn out with treads coming out from every side and some of the furniture with marks and scratches. I always think that when you enter in an hotel room a guest should feel like the room has never been used before. Unfortunately I did not have this feeling!!!! Their restaurants are really cool. I loved the Japanese restaurant and the breakfast buffet. Check in and check out too slow. In general the hotel needs improvements.,Date of stay: August 2018
Tharani T,Best Hotel in Colombo,"We stayed in Movenpick in September 2018 and I cannot recommend it enough.  The hotel itself is clean and modern with a rooftop bar (cocktails were great, definitely a must try) and pool/Jacuzzi, the food was absolutely amazing. We had breakfast included in our stay and it had a great variety of dishes ranging from English breakfast to traditional Srilankan food and even had healthy options available too.  The staff were really friendly and it had such a homely atmosphere to it. They were extremely helpful, we used the laundry service which was quick and efficient too. Front desk staff were at hand to answer any questions and eventhough the hotel was fairly busy during my stay, it didn’t impact the customer service they provided. One of the staff members, Ramsheed, was",Date of stay: September 2018
mleahz,Excellent service,"I am really happy about the service provided by movenpick front desk staff. Specially Manager Irshad, Sujith, Ramsheed done a good welcome and super service. Wonderful place to stay also good location amazing hotel.i will recommend this place for all my friends and family because of good managers are working in this place to helping the guest.",Date of stay: September 2018
Insha A,Front desk staff,Very friendly staff with beautiful smiles. Mr. Dulaj from front desk was very helpful from the beginning. The location is very convenient to get around the Colombo city. At least one time you should visit to this property 🙂,Date of stay: September 2018
Kunjan D,I am having great experience.,"Neat n clean, good staff , great gesture from reception, specially Dulaj. Will stay in Same hotel on my next visit. Great Sea View. Excellent service from front office, had a delicious breakfast.  Close to shopping malls n was close to my business meeting destination.",Date of stay: September 2018
Poopal K,"Karuna Poopal, Germany",Thank you for the pleasant surprise and your presence of mind. We enjoyed the hospitality and beautiful view of Colombo . Delicious food and beverage. We also enjoyed the  Hopers and other traditional Srilankan specialities on breakfast buffet. Thank you Ramsheed and the team of Mövenpick. We look forward to see you soon 😍,Date of stay: September 2018
emdad h,Great,Excellent hotel best service thank you so much nimesha and sampath from front office. Best food and I had nice junior suite in 12 th floor great view and nice bathtub. Thank you so much for your great service,Date of stay: September 2018
doctorbob57,Our holiday commences,"We stayed at this hotel on the first night of our holiday and first time in Sri Lanka and I can safely say that it was a wonderful experience and great start to our time on the Island. All the staff were friendly and couldn’t do enough to help us. We particularly loved the infinity pool on the roof, and the view of the sunset although slightly marred by the building in front of us was amazing. We were able to look down over the city of Colombo and particularly the beach side railway, would definitely come back if we had the chance!",Date of stay: September 2018
roshanaseem,Mövenpick colombo,Great hotel. Check in was easy and fast. Breakfast was great with a lot of options. Room as spacious and clean. The bathroom was crazy spacious.Staff was very helpful and curtious. Will be staying there again soon,Date of stay: September 2018
Raj,Raj,"Wonderful place to stay, good location. Emphasis on great service. A special mention for Thanuja, Guest Relations Executive who made our stay at the Movenpick a memorable experience. An asset to her organisation.",Date of stay: September 2018
Nivanthi R,Shisha Bar,Amazing time at the roof top bar. I wanted to find a good shisha bar that would be similar to the quality overseas in aus. I found it here. Shout out to Hassim  who was exceptional with his service. He went out of his way to make sure my shisha was prepared well and was always happy to help. They use Al Fakher brand. Amazing! I will Be definitely coming back to Movenpick again! Also the food was amazing try the lamb pita pockets. Damn good ! Also Hassim was nice enough for us to try the Achcharu cocktail.,Date of stay: September 2018
Genevieve,Awesome stay at Movenpick,"The hotel is very beautiful and has a wonderful & warm welcoming atmosphere. The rooms are very specious & clean. Loved the food here i would give 11 points out of 10.. It was that great. Most of all I loved the hospitality of the staff. They are very kind, attentive and helpful. Dulaj was one who went the extra mile to make our stay memorable. I love this hotel and will visit again.",Date of stay: September 2018
romenick,Great hotel,"I stayed one night in this hotel with my family and it is absolutely unexpected to a city hotel when it comes to the staff friendliness. Food, amenities in the rooms are all most same. But the rooms are quite nicer and more fresh looking. I would like to mention one persons name which i cant forget, he is Mr. Dulaj who works at the reception. From the check in to the check out when ever he saw us in the hotel he used to give us a warm smile & most importantly he remember to check how are we doing and how comfortable are we. Thank you Dulaj for taking care of us & treating us as one of your own...",Date of stay: September 2018
Emerson R,Amazing hotel,"I stayed 11 days. This time was amazing. The staff are great,polite,kindly. The room is wonderfull. The restaurant I don t have words. I don t have any idea if I come back. But I ve never forget this amazing hotel that with this wonderfull people. Emerson Ramos from Brazil",Date of stay: September 2018
karthick s,,,
RTK,Loved it!,"Having travelled all over Sri Lanka and stayed at questionable 4* hotels, we decided to check out early from Kalutara and spend our last 3 days in a 5* paying a fairly large amount for an ocean view deluxe room. We were given a great welcome by a lovely lady who I assume was a manager and on asking if it was our first time in SL, she gave us a free upgrade to an ocean front suite. The room was AMAZING! From the freestanding bath to the massive luxury bed and great BOSE speakers (as well as a magnificent view of Colombo), it was exactly what we needed to end an amazing hol in a beautiful country.",Date of stay: September 2018
Lisette D,Best hotel I've Stayed so far!,"‪Stayed here for 24 hours after 3 weeks of holiday (we made a round tour).‬ ‪Stayed in various 4 and 5 star hotels in my life but this was definately the best hotel so far. !! ‬ ‪Breakfast was amazing, large bathroom and teriffic views.  Next to that the bed was super comfortable. Thanks to all of you! ‬",Date of stay: September 2018
Ivy B,Short but enjoyable stay,We stayed for one night at this luxurious hotel before we headed off to our big tour of Sri Lanka the following day. The room was really spacious and they had nice amenities in the room.   We upgraded to have the breakfast buffet and access to the Executive Lounge where they had cocktails and snacks from 6-8 pm. That was worth it as the drinks and food selection was top notch. Pity we had to leave after one drink as we had to catch up with friends for dinner.   The breakfast buffet was very good. The staff was polite and helpful.,Date of stay: September 2018
Ifthi K,Vistas Bar on the rooftop,"This review is specially for Ishan the guy at the bar!!!! What an amazing person. Ishan was so entertaining and he went  the extra mile to get us th best wine what we wanted Ishan is an asset to the company, he needs a rise, it is nice to see a young bloke with such an enthusiasm...",Date of stay: September 2018
Vicky Ladaki,An unexpected good gest!,"We choose Movenpick hotel for our two days stay in Colombo this summer ! The location is very good, near the commercial area of the city, next to a shopping mall .   When we arrived, the impression of the reception wasn't as impressive as  we expected  from the internet photos !  The bar was small without big variety . Although, the stuff  was very smily and kind,with a real disposal to keep us happy. The rooms are very spacious with amazing bathrooms with sea view, very  clean and equipping as a 5 stars hotel!  The amazing thing which happened to us was that  the manager  upgraded us  to a big suite the four of us . After that,  our stay was even more fantastic and we thank him for that. Also the swimming pool was very nice with a smart  snack bar catalogue. We really",Date of stay: August 2018
puneetpratyush,Nice place,"Nice hotel with very good staff very centrally located near the business district of Colombo , amazing room had view of the sea very cooperative staff food is also nice and rooftop bar gives a very good view of the city",Date of stay: September 2018
DirtyDewang,,,
shooting s,Excellent hospitality,"We had a stay at movenpick Colombo during our visit to srilanka. Excellent place to stay and great hospitality. People at the desk Shefali and kaushalya were very cooperative and helpful. Also center of the city, and every good place is at max 15 minutes drive.",Date of stay: September 2018
pess1410,Very pretty and helpful reception staff.SHEFLI and KOWSHALYA,"Thank you very much every one. Very nice hotel. We enjoyed our stay .This is the best hotel I ever seen.tasty food from food outlets.nice view with large room.very helpful front desk staff. Specially shefli she is very kind. And also kowshalya. Very helpful.Guest relation Maria , Dulaj, Arafath , Rasheed thank you everyone . Special thanks for two girls.",Date of stay: September 2018
747Barman,Mr,"Amazing stay at Movenpick Colombo last 2 days. Fantastic food particularly at Ayu resturant on 4th floor. Staff amazing, Kasun was very helpful as are all the staff. Rooms are very big and decor is very unique and modern. Highly recommend 👍👍",Date of stay: September 2018
Sejpoj,last night in SL,"spent last night here, good position for touring city and great pool on top of hotel. rooms were excellent and good bar on rooftop too oddly only hotel on Holiday whose meet and greet was underwhelming, and very much a city vibe. overwhelming choice of food at breakfast which is open at 0600",Date of stay: September 2018
Diego V,,,
Dilani J,Best customer service and amazing food,Best customer service  So far the best customer service you will ever come across in’colombo hotels’ . We went for a dinner date on the 8th of September and we had the most amazing time there. All staff were so friendly and customer service is spot on. Food is amazing too. Looking forward to visit again.,Date of stay: September 2018
Bertiebaloo,,,
Su J,JC,"I’ve stayed in Movenpick Colombo hotel on numerous occasions since they have started operations in 2017, all these while it has been good except a little hiccup on the operation side which is bearable for being new. However my current stay for 11 nights is bit disappointing. Notice the toiletries, toothbrush and vanity kits are not replenish on daily basis. when call up the service line, was told it’s on request basis as per the new system. I am surprise, does it means I’ve to call the next 8 nights.",Date of stay: September 2018
FA99,Movenpick hotel colombo,"From setting foot in the hotel you get greeted with 5* service, all staff members are approachable and friendly, and willing to help you with any matter. Particularly good service from Dinesh at reception when checking us in and amarasingha and sudeera in the business lounge. Rooms are spacious and clean with a modern take and amazing view. Breakfast buffet has a variety of international foods meeting the needs of fussy eaters. Also, highly exceptional food in the business lounge is perfect for finishing off a busy day. The perfect hotel to stay in when new in Sri Lanka. Will 100% be visiting again. Thankyou",Date of stay: August 2018
Sakurai-Lynn,special thanks,Very nice hotel.  large room and good view. Enjoy the breakfast every morning.Special thanks for reseption staff shefli and dulaj. Very helpful and friendly. I will come again to movenpick. Thank you very much ..,Date of stay: August 2018
Trip743238,Great Experience,"We were at Movenpick hotel for one night. While checking in, we were asked the purpose of our trip, and we mentioned it was the last day of our honeymoon before flying back home. The staff upgraded us to an executive room, which was very generous and appreciated. The room was spacious with good view of the city. The bed was comfortable, and the amenities were great. Housekeeping was also very prompt and professional . As it was our last night in Sri Lanka, we asked the front desk to recommend an authentic Sri Lankan restaurant. The staff at the hotel not only suggested a great traditional restaurant (which happens to be at a competitor hotel), they also made a reservation for us. We really appreciated the gesture as they could have suggested a restaurant at Movenpick. This",Date of stay: August 2018
Abdulrhman A,Great Experience,"It was a great experience, they made excellent an upgrade on my booking, plus they brought a cake and fruit basket for my birthday. Movenpick team who made my stay unforgettable amazing (Harin, Kausahalya, Dinesh, Mayrs).",Date of stay: September 2018
RMSMR,,,
AJY,,,
reality99dream,Best five star ever seen,This is the one place I adore most if I am a millionaire I would rather stay here more than 1year ....never let home sick because this place feels like I never left home and by the way the staff makes me feel like I am in a big family plus the manager makes me feel like he’s the father of this whole place o rather spend my vacation in here instead of Las Vegas or Dubai.....specially I want to thank to night manager Ramsheed helping very hard.......thank you for every one make me happy vacation 😇🤣👍,Date of stay: August 2018
rajanjg32s,Great hospitality with great staff,My stay at the hotel was a great experience that I would look forward to being here once again. I am a regular traveler and have stayed in many hotels all over the world. But I am quite glad that I did choose Movenpick to stay this time to experience the great customer service and the hospitality offerred by them.   The first impression created by the night staff at the time of check-in was great. Mr. Ramsheed and the reception team was a great platform to get the guests to a positive outlook about the hotel. Also not to forget that the breakfast was superb. Looking forward to being here once again.   A hurtful thank yoi to Mr. Ramsheed and all the staff for all the support given to make it a memorable stay.,Date of stay: August 2018
Karen H,First Experience of Sri Lanka 🇱🇰,"The Movenpick is a great hotel to explore Colombo from.  Bright modern hotel with attentive staff who always have a smile for you.  The reception area and lengthy check in process does not give you the best first impression sadly but that’s soon forgotten as you see more of the hotel.  We upgraded to a junior suite on the 22nd floor, good size, clean and spectacular sea and city views.  Breakfast was plentiful and the roof top bar and infinity pool a great spot to relax after a day of touring the city.  Tips: don’t use the hotel transport literally 10 times more expensive than a tuk tuk!",Date of stay: August 2018
M M,,,
manjushree,,,
راشد ا,very nice hotel with heplfull front office staff,this oz my first trip to sfilanka . i thought to stay in moven pick hotdl colombo... really nice hotel in colombo.very nice and big room .help full staff. specially receptioniest shefli . very helpfull. guest relation maria and sampath.thankyou all of you..,Date of stay: August 2018
Jayendra P,Good hospitality service from shefli,Everything about this hotel were amazing very nice room with nice viwe.and nice beach near by. Excellent staff and they upgraded my room in the top floor...  Great customer service from Shefli at the reception...,Date of stay: August 2018
Compass743137,Worst value for money,"➖ Bathroom - there was no tub, even though my room description says it should have one. The shower was designed terribly, basically your bathroom is in the shower. The entire bathroom floor was flooded when I showered, had to cover with towels just to be able to walk to the basin to brush my teeth.   Room - The rooms definitely need a renovation. It is nothing like the photos. Actually the entire hotel is nothing like the photos. Although on the 14th floor, it was incredibly loud and I could hear all the cars in the street the entire night.   Pool - the pool is simply terrible. Again nothing like the photos. All you see is construction sites and all you hear is street noise and construction. They were even doing maintenance by the pool at 11-12pm.   Food - breakfast was ok. Went",Date of stay: August 2018
Ruchira R,Great experience,The hotel is located right in the center of Kollupitiya which is a highly developed central location in Colombo.   The hotel has been built recently and is taken care of very well. The food is great and the atmosphere is great also.,Date of stay: August 2018
asirvatham48,Wonderful Atmosphere,"Wonderful atmosphere. Had a fantastic time. The food was great and very authentic Sri Lankan food not too spicy though. Really great service. Very friendly well train staff specially reception staff Kaushalya ,Ghavesh ,Nazir and Maria. Manager's Ramsheed and Prashantha really great to us.Thank you for the hospitality.We will come back again.",Date of stay: August 2018
ABH-Qatar,Abdullah Qatar,"Hotel movenpick colombo very good services and location the staff very kindly and helpful  I thinks Mr. Harin very much he help as to extend late check out for my familly i advice to chosse this hotel for stay in Colombo because it is the best hotel really from the services , Room and location  See you for next time",Date of stay: August 2018
ccasne,Very good stay,It’s a very convenient and comfortable hotel to stay in. Very friendly staff and good facilities. The Spa is a must to go. Ramsheed and Azmi are extremely helpful in providing me my needs. The infinity pool is also beautifully.,Date of stay: August 2018
gautham j,Best hotel i ever seen.,First of all the view in the hotel is absolutely stunning🤩second Mr.Ramsheed was very kind enough to take care of us and his introduction was awesome😁 Service in the hotel was very good  Morning breakfast was delicious😍 Iam leaving today to trinco and i feel bad to leave this beautiful hotel no other choice. Iam coming back to this hotel next month and gonna stay for one month😎 Thank you Mr.Ramsheed😁,Date of stay: August 2018
Qadros3,Best hotel,We were there at last of our vacation for two days..had a wonderful stay..the best reception team ever i have met. Very hospitable and professional. Special thanks to reception in charge mr dinesh was very friendly and made sure we had a wonderful stay. Will definitely be back..  Munjal,Date of stay: August 2018
Culture57760,Nice spacious room,The room is nice and spacious. The ocean view room is not great. There was a problem with the sewage in the toilet. The location of the Hotel is not very nice. The hygiene level of the hotel is average. The infinity pool is so nice.,Date of stay: August 2018
Suf Y,Oman Cricket Team,"I enjoyed my stay at movenpick this is a greatest hotel in srilanka. I came here with oman cricket team. Specialy i like to mention reseptionist shefli , and also nipuna two of them are very helpfull. Grate room ad nice viwe. Tasty food.. i hope to come back.",Date of stay: August 2018
AAmeen,Very nice hotel. Special thanks for shefli.,"Realy nice hotel.good service.,helpfull stalf large and beautiful room. Grate view... I would like to mention reseption staff shefli and dulaj was very helpful and friendly.and also belldesk stalf..definetly i will come again to movenpick. Thank you very much ..",Date of stay: August 2018
esesis,,,
Jo Le,Loved this hotel,"Big rooms with comfy bed and pillows. Big menu for roomservice and with tasty food.  Rooms are clean and spacious, which we longed for after travelling around the island, staying in less luxurius hotels.   Location is close to everything. We used Uber whenener we wanted to go shopping or other places.   Fitness room was ok with towels and water.",Date of stay: August 2018
Jahan D,''Awesome Stay'',"It is a well located hotel. stay was awesome and rooms are clean, food so delicious specially their ice cream. Value for money. Having huge shopping mall next to hotel and a market in front of the hotel. This made me to do my shopping easy. Night Manager Ramsheed's service was excellent, very helpful and friendly. I am looking forward to my next stay.   Thank you so much Ramsheed and the team.",Date of stay: June 2018
asokaranjith104,Must Stay in this Hotel,I was here with my family. Must say it's amazing hotel the view from the rooftop bar is to die for.Great atmosphere very friendly staff specialy reception staff very helpful. Maria and Kaushalya really polite. Night Manager Ramsheed and Irshad very helpful and went extra in their Job to help to the hotel guest.Really nice place for the family to stay with out any problem.It is a permanent place for me in Colombo. Must visit even if it is for a meal.Thank you very much for a wonderful service we had.,Date of stay: August 2018
sunildange007,Mr Sunil,Stay was awesome. Quality of the rooms food was excellent. Ambience is really good and value for the money. Dinesh at reception is fantastic lovely gentleman who made my stay really wonderful. Tubs up to Dinesh and the hotel. If I had a hotel I would have hired him tomorrow. This is one of the best hotel in Sri Lanka,Date of stay: August 2018
Reem M,"Shefli, Azmi & nimesha","Very nice hotel and the reception lady Shelli is always smiling, loved the ice cream, the location of the hotel is near to almost everything. The roof top view is beautiful.   Would consider coming again to the hotel.",Date of stay: August 2018
ashish n,Mr Dulaj is a great personality,"Movenpick is a magnificent property with spacious rooms and above all Mr Dulaj is very courteous and  available 24x7 at your service.Mr Ghavesh , Mr Arafath are very polite and helpful as well.Movenpick is a magnificent property with spacious rooms, I would love to stay again and again. Ashish",Date of stay: August 2018
Dinuka R,Grill restaurant,Had a great time at this restaurant had really amazing food also had a good time. Highly recommend Nasir he was really polite and helpful and always attentive the whole time. We spent more than 2 hours enjoying the food and like another 45 mins just sitting and having random conversations in quite and peaceful place.,Date of stay: August 2018
Abdullah A,Great Hotel,"This is the first time to this hotel, this is one of the great hotel with nice staff in the reception special thanks for ramsheed..Azmi..Arafat..gavesh..Maria..I will come back again ..to visit this hotel",Date of stay: August 2018
moonlight9909,Very kind employee,"We had great experience in this hotel and we saw i kind girl called Amela in the dinner time, and she helped us and have great conversation with us. She is so lovely and kind. The hotel should up great her 🌹",Date of stay: August 2018
Ismail R,"EXCELLENT STAY , GREAT LOACTIONS (ISMAIL RASHEED)","I stayed at movenpick hotel  , hotel is very nice and rooms were extremly clean, loved the rooms interior design as well. Location is great , near commercial center and tourist destinations,restaurants with delicious food and very good services. Mr.Ramshed night duty manger  and other staff were  very friendly courteous and helpful. I would definetely stay here again. Insha-Allah",Date of stay: August 2018
Mashooda R,Best Hotel Compared with Other Five-Stars,"My stay at the Movenpick was wonderful, From the cleanliness of the room to the food and the services provided by the friendly staff made our trip a very happy one, Ghavesh, Naseer and Maria was very helpful at the reception. Night Manager Ramsheed and Sunith welcomed me very professional. Special thanks to Ramsheed. I am a regular guest of Ramada but bcoz of Ramsheed, I choosed Movenpick. Really enjoyed this property. The location as well is very convenient as the shopping mall and the fruit market are just walking distance, We will definitely stay here again. Perfect for a family stay. Thank you for all the staff for the great service given to us. (Sheriff Ibrahim)",Date of stay: August 2018
bmurphy220,Long stay in Colombo,"I'm having a great stay in Movenpick Colombo.. Every morning people in the reception make my day special always ready for a conversation, greetings are on poin. Very happy to be a part of this family and deciding to spend my long business vacation here in this hotel is a great decision. Specially I would also want to mention Mr Ramshed the manager and subordinates Azmi and Gavesh are spectacular in their service. Also the concierge person Harshana and Thusith are great people. Also gr Thanuja.",Date of stay: August 2018
TravellingSpiderman,,,
Josh M,,,
flywitheva,Good service,"I stayed for 2 nights on a business trip. Very good and friendly service, good recommendations for my stay in Colombo and for a rafting trip in Sri Lanka from the night manager Ramsheed. Spacious and clean room. Roomservice was quick, and the barramundi is recommendable!",Date of stay: July 2018
KadawathaSendra,Nice city hotel,Well located city hotel straight on the busy road. Little but adequate basement parking. very well arranged and well maintained public areas with pleasant and attentive staff. Food is tasty and well laid buffet.,Date of stay: August 2018
ghs662,Director,"Great location, very friendly staff, concierge are very helpful and professional. The room setup very comfortable and nice. I recommend this hotel for all kind of activity.  Very pleased and happy with the staff",Date of stay: August 2018
alberto D,Love it,excellent customer service from top to bottom.room was superb. we enjoyed well.amazing view in roof top as well as gym. spa was great. we will come back again.  thank you dilip and nimesha for your help.,Date of stay: July 2018
Fatema A,Great hotel,"I enjoyed my stay at movenpick, the stuff was helpful all the time especially ‘ shefli’ . Thank you so much ❤️And also nazeer thankyou both.nice room. Good viwe and location I really enjoyed with my family.",Date of stay: August 2018
akram E,Not the Movenpick I encountered in other countries,We were supposed to stay 3 nights we reduced them to 2 because mainly the rooms did not have blackouts which secures no day light enters . Accordingly we used to wake up v early everyday . Also the breakfast is not the v famous Movenpick breakfast worldwide ( the orange juice is not fresh for ex and not cold )  The staff were veey helpful and service oriented I have to admit  We had veey good dinner at the Japanese restaurant at the hotel though,Date of stay: August 2018
Lahiru S,Excellent,"We had a wonderful stay with all five star facilities. This is the best Hotel in Colombo I would recommend  to all travellers who planning to visit Colombo. Nice view, great service specially foods.  Thank you so much Dulaj  and the team..   Until we meet again.",Date of stay: August 2018
MJ525,Great Hotel & Service,"I travel to Colombo a lot for work, and have stayed at several properties. Movenpick has definitely become my favorite. I have stayed 5 or 6 times now. The hotel is newer and very modern. The rooms are some of the largest I have seen in this class of hotels. The beds are very comfy. The rooftop pool is smallish but has a nice view. It lacks privacy due to the rooftop bar, but it fits well with the style of the hotel. There is a nice gym that is usually underutilized. There are a couple of solid restaurants on property. Aside from a rooftop bar, there are several other full service eateries. One Asian inspired, and one French. There is the main restaurant where the breakfast buffet is served. The buffet is well equipped for all tastes. There is a desert bar off the main lobby",Date of stay: May 2018
Ariff A,Excellent,"everything went smoothly. from check in till check out very quick and hassle-free. room was spacious and well decorated. service was quick. special thanks go to room service. food is excellent. specially swiss promotion in the brasserie. there were few people who went an extra mile to fulfill our requirements. Viran from the brasserie, nimesha from reception and chalani from executive lounge. thank you so much you guys made my vacation.",Date of stay: August 2018
naotosato0828,Very nice hotel,Very beautiful room and the view awesome. Thanks to me dinesh we had a nice room on the 12 floor.theroom smelled very nice. Thanks team for everything. This was our first time to visit Sri Lanka and definitely will come back,Date of stay: August 2018
Amit S,Very good exeperiance i special thanks for shefli.,"Really good hotel in colombo. I enjoyed my stay. Realy good service,good food excellent room and nice hotel .actually this is my second visit.i hope to visit again.i like to thank receptionists shefli ,dileep and also guest relation nimesha for your help....",Date of stay: August 2018
Mohamed F,I enjoyed my stay at movenpick,I really enjoyed my stay at movenpick hotel. Nice rooms service is excellent. Ayu restaurant buffet is delicious. One of the best hotel in Colombo.front office staff were help full .specially Shelli and dileep. Thank you everyone.,Date of stay: August 2018
