user,review_title,review,date,translated,entities,sentiment,sentiment magnitude
Asoka,The Kings,"As we arrived we were warmly welcomed by the staff.Staff was excellent, extremely helpful.The kings offers an extensive cocktail menu. Special thanks to Mr Thilina who take care of the place  Ideal location for a different vibe will definitely recommend to anyone.",Date of stay: January 2019,"As we arrived we were warmly welcomed by the staff.Staff was excellent, extremely helpful.The kings offers an extensive cocktail menu. Special thanks to Mr Thilina who take care of the place  Ideal location for a different vibe will definitely recommend to anyone.","{'name': ['kings', 'Staff', 'Thilina', 'staff.', 'cocktail menu', 'thanks', 'location', 'vibe', 'anyone', 'care', 'place'], 'type': ['PERSON', 'PERSON', 'PERSON', 'ORGANIZATION', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'PERSON', 'OTHER', 'OTHER']}",0.9,1.8
vinaykark,Centrally located and good hotel,"Very good location , take a walk around the place in the evening, close to the beachside and other side you have the heritage buildings, opposite to the hotel is Dutches Hospital building which has lots of pubs and bars and a must place to visit. Sea food lovers should visit restaurant in this building called MINISTRY OF CRABS, which is owned by the famous cricketers Manila Jayawardene and Kumar Sangakkara,it’s just awesome. Kingsbury Hotel Duty Manager Mr. Vishal is very helpful in making the guests comfortable and by meeting you personally to see to your needs.",Date of stay: January 2019,"Very good location , take a walk around the place in the evening, close to the beachside and other side you have the heritage buildings, opposite to the hotel is Dutches Hospital building which has lots of pubs and bars and a must place to visit. Sea food lovers should visit restaurant in this building called MINISTRY OF CRABS, which is owned by the famous cricketers Manila Jayawardene and Kumar Sangakkara,it’s just awesome. Kingsbury Hotel Duty Manager Mr. Vishal is very helpful in making the guests comfortable and by meeting you personally to see to your needs.","{'name': ['location', 'building', 'walk', 'place', 'Vishal', 'heritage buildings', 'side', 'beachside', 'building', 'hotel', 'bars', 'pubs', 'lots', 'Sea food lovers', 'Dutches Hospital', 'restaurant', 'MINISTRY OF CRABS', 'needs', 'guests', 'Kingsbury', 'cricketers', 'Kumar Sangakkara', 'Manila Jayawardene'], 'type': ['LOCATION', 'LOCATION', 'EVENT', 'LOCATION', 'PERSON', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PERSON']}",0.9,2.8
Nisal,Best high tea in the town,"Kingsbury is one of the best places to have good food around Colombo in the 5 Star level. Specially the Kingsbury high tea is worth for its price. It is buffet and there are so many varieties. The customer service is also superb. You can try different kind of dishes from its restaurants like Harbor court, Gourmot station,Honey beach club etc.",Date of stay: December 2018,"Kingsbury is one of the best places to have good food around Colombo in the 5 Star level. Specially the Kingsbury high tea is worth for its price. It is buffet and there are so many varieties. The customer service is also superb. You can try different kind of dishes from its restaurants like Harbor court, Gourmot station,Honey beach club etc.","{'name': ['one', 'places', 'Kingsbury', 'tea', 'buffet', 'kind', 'level', 'food', 'Colombo', 'customer service', 'price', 'varieties', 'dishes', 'restaurants', 'court', 'station', 'beach club', 'Harbor', 'Gourmot', 'Honey', 'one', '5'], 'type': ['OTHER', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'ORGANIZATION', 'ORGANIZATION', 'LOCATION', 'ORGANIZATION', 'PERSON', 'WORK_OF_ART', 'NUMBER', 'NUMBER']}",0.8,4.2
Abhishek Arora,Location and hospitality,Been travelling to Colombo for last 3 years now and have stayed in Kingsbury twice. The hotel location is apt and good areas to wall around at night. The hotel pool side becomes very lively at night time which makes it all more interesting and happening.  Food and customer service is worth the money spent. Some time you would feel the lobby is over crowded which doesn't gives a feel of 5star properly. Other then that all is good and worth it.,Date of stay: September 2018,Been travelling to Colombo for last 3 years now and have stayed in Kingsbury twice. The hotel location is apt and good areas to wall around at night. The hotel pool side becomes very lively at night time which makes it all more interesting and happening.  Food and customer service is worth the money spent. Some time you would feel the lobby is over crowded which doesn't gives a feel of 5star properly. Other then that all is good and worth it.,"{'name': ['hotel pool side', 'lobby', 'Colombo', 'Kingsbury', 'hotel location', 'areas', 'Food', 'customer service', '5star', 'all', 'feel', 'money', '3', '5'], 'type': ['OTHER', 'ORGANIZATION', 'LOCATION', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'NUMBER', 'NUMBER']}",0.4,4.3
Simon B,Oh dear!!,"We visited on our first visit to Sri Lanka several years ago and thought it was a great hotel with great service so when returning to Sri Lanka this year we decided to stay here for our one night in Colombo.  It didn’t start well and went downhill from there.  Check-in wasn’t easy although some of that may have been due to linguistic problems and the noise in the reception area.  The corridor to our rooms in a no smoking area smelt of cigarette smoke though the rooms didn’t.  A suitcase lock was damaged, the restaurant service in the buffet restaurant was at best poor.  The wine we ordered was out of stock, no problem, but when told this we weren’t given the wine list back to chose an alter but had to ask for it. Plates from the table weren’t cleared and we had to move them to",Date of stay: January 2019,"We visited on our first visit to Sri Lanka several years ago and thought it was a great hotel with great service so when returning to Sri Lanka this year we decided to stay here for our one night in Colombo.  It didn’t start well and went downhill from there.  Check-in wasn’t easy although some of that may have been due to linguistic problems and the noise in the reception area.  The corridor to our rooms in a no smoking area smelt of cigarette smoke though the rooms didn’t.  A suitcase lock was damaged, the restaurant service in the buffet restaurant was at best poor.  The wine we ordered was out of stock, no problem, but when told this we weren’t given the wine list back to chose an alter but had to ask for it. Plates from the table weren’t cleared and we had to move them to","{'name': ['hotel', 'visit', 'Sri Lanka', 'problem', 'service', 'Colombo', 'some', 'reception area', 'problems', 'rooms', 'Check-in', 'cigarette smoke', 'rooms', 'smoking area', 'noise', 'corridor', 'smelt', 'suitcase lock', 'alter', 'wine list', 'table', 'Plates', 'restaurant service', 'buffet restaurant', 'stock', 'one'], 'type': ['LOCATION', 'EVENT', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'EVENT', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'NUMBER']}",-0.6,4.7
Nolsie1,Perfect for New Year’s Eve,"We stayed at the Kingsbury for New Year’s Eve and watched the fireworks directly above us from the rooftop bar. We had to book tickets and pay extra to be on the rooftop, food and drinks all inclusive, but it was worth doing. The staff at the hotel are very helpful. The rooms are great, the breakfast outstanding, and the pool is very good. Overall, a very good hotel.",Date of stay: January 2019,"We stayed at the Kingsbury for New Year’s Eve and watched the fireworks directly above us from the rooftop bar. We had to book tickets and pay extra to be on the rooftop, food and drinks all inclusive, but it was worth doing. The staff at the hotel are very helpful. The rooms are great, the breakfast outstanding, and the pool is very good. Overall, a very good hotel.","{'name': [""Kingsbury for New Year's Eve"", 'fireworks', 'rooftop bar', 'rooftop', 'drinks', 'food', 'tickets', 'staff', 'breakfast', 'pool', 'hotel', 'hotel', 'rooms'], 'type': ['OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION']}",0.6,3.4
Marcia S,Luxury at its finest,"A beautiful hotel in the city center. Close to shops, markets and eateries. The buffet spread was AMAZING!! The service was impeccable and I would go back to this hotel in a heartbeat. The pool was huge and open late. The bar and dj played music till late at night which was nice for those on holiday. View of the port and a main road. The interior of the hotel was luxurious down to the bathroom supplies being from BLVGARI. The rooms were large and all level 2 rooms had a balcony which was stunning to relax in. The rooftop bar was beautiful but you need to be 18+ to enter which was difficult when my party had 8 adults and a 1 year old. There was a range of shops available onsite and the reception staff were fantastic.",Date of stay: January 2019,"A beautiful hotel in the city center. Close to shops, markets and eateries. The buffet spread was AMAZING!! The service was impeccable and I would go back to this hotel in a heartbeat. The pool was huge and open late. The bar and dj played music till late at night which was nice for those on holiday. View of the port and a main road. The interior of the hotel was luxurious down to the bathroom supplies being from BLVGARI. The rooms were large and all level 2 rooms had a balcony which was stunning to relax in. The rooftop bar was beautiful but you need to be 18+ to enter which was difficult when my party had 8 adults and a 1 year old. There was a range of shops available onsite and the reception staff were fantastic.","{'name': ['hotel', 'city center', 'shops', 'buffet spread', 'eateries', 'markets', 'hotel', 'service', 'heartbeat', 'hotel', 'interior', 'pool', 'bar', 'holiday', 'port', 'View', 'road', 'dj', 'balcony', 'party', 'bathroom supplies', 'adults', 'shops', 'range', 'BLVGARI', 'music', 'rooms', 'rooftop bar', 'rooms', 'reception staff', '2', '18', '1', '8'], 'type': ['LOCATION', 'LOCATION', 'LOCATION', 'EVENT', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'EVENT', 'OTHER', 'OTHER', 'LOCATION', 'PERSON', 'LOCATION', 'ORGANIZATION', 'OTHER', 'PERSON', 'LOCATION', 'OTHER', 'LOCATION', 'WORK_OF_ART', 'LOCATION', 'OTHER', 'LOCATION', 'PERSON', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER']}",0.6,7.5
Mobile604821,Great stay at the King!,"Our fourth stay at the Kingsbury...Colombo. Love this hotel. First stay was in 1992, when it was The Inter Continental. 2015, 2017, and this year 2019. We will be back! Great shopping at Paradise Road and the Majestic Arcade.",Date of stay: January 2019,"Our fourth stay at the Kingsbury...Colombo. Love this hotel. First stay was in 1992, when it was The Inter Continental. 2015, 2017, and this year 2019. We will be back! Great shopping at Paradise Road and the Majestic Arcade.","{'name': ['stay', 'stay', 'Kingsbury', 'Colombo', 'hotel', 'shopping', 'Inter Continental', 'Paradise Road', 'Majestic Arcade', '1992', '2015', '2017', '2019', '1992', '2019', '2017', '2015'], 'type': ['EVENT', 'EVENT', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'LOCATION', 'DATE', 'DATE', 'DATE', 'DATE', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER']}",0.4,3.4
lilyofthevalley415,A Convenient location,"Stayed one night at the  hotel, its convenient to the heart of Colombo. There are many restaurants within the  hotel and  my personal favorites are the  roof top bar and the Grill on the  ground floor. The buffet is ideal for a crowd.  there are many restaurants near to the  hotel which makes it ideal if you want a change from the  norm.",Date of stay: March 2018,"Stayed one night at the  hotel, its convenient to the heart of Colombo. There are many restaurants within the  hotel and  my personal favorites are the  roof top bar and the Grill on the  ground floor. The buffet is ideal for a crowd.  there are many restaurants near to the  hotel which makes it ideal if you want a change from the  norm.","{'name': ['hotel', 'heart', 'hotel', 'Colombo', 'roof top bar', 'hotel', 'buffet', 'restaurants', 'Grill', 'favorites', 'ground floor', 'change', 'norm', 'restaurants', 'crowd', 'one'], 'type': ['LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'PERSON', 'NUMBER']}",0.8,3.5
amitsd2015,Nice luxury hotel next to the beach front!,"A nice hotel very next to the beach front, located in the CBD and very easy to reach anywhere in Colombo. Rooms are nice and clean, a little smaller than some of the other hotels but of course not too small. Has got good breakfast and lunch spreads. With the rooftop bar and restaurant makes it even better. I would definitely come back again.",Date of stay: January 2019,"A nice hotel very next to the beach front, located in the CBD and very easy to reach anywhere in Colombo. Rooms are nice and clean, a little smaller than some of the other hotels but of course not too small. Has got good breakfast and lunch spreads. With the rooftop bar and restaurant makes it even better. I would definitely come back again.","{'name': ['hotel', 'beach front', 'anywhere', 'CBD', 'Colombo', 'hotels', 'some', 'Rooms', 'course', 'restaurant', 'rooftop bar', 'lunch', 'breakfast', 'spreads'], 'type': ['LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER']}",0.8,4.3
Veronica O,Below average,"We stayed one night as we wanted to go around Colombo after being in southern Sri Lanka for 2 weeks.   The pics are not representative to what we have experienced. They have placed us in a room where the view has a terrace.Simply horrible. There was also very noisy. The room service very-very slow. Food was good and the buffet had great range of goodies. Concierge service was great and the shops and the layout at the ground floor (reception area) was nothing you were in another hotel. The piano, the fish tank, the design gives you a great atmosphaire and then you walk to the room and you are questioning yourself.....?!  The manager was happy to change us to another room but having to stay for 1 day it was more of a hassle doing so. I think during check-in they should of told us",Date of stay: January 2019,"We stayed one night as we wanted to go around Colombo after being in southern Sri Lanka for 2 weeks.   The pics are not representative to what we have experienced. They have placed us in a room where the view has a terrace.Simply horrible. There was also very noisy. The room service very-very slow. Food was good and the buffet had great range of goodies. Concierge service was great and the shops and the layout at the ground floor (reception area) was nothing you were in another hotel. The piano, the fish tank, the design gives you a great atmosphaire and then you walk to the room and you are questioning yourself.....?!  The manager was happy to change us to another room but having to stay for 1 day it was more of a hassle doing so. I think during check-in they should of told us","{'name': ['room', 'Colombo', 'Sri Lanka', 'view', 'piano', 'pics', 'Concierge service', 'shops', 'room service', 'Food', 'buffet', 'goodies', 'range', 'layout', 'nothing', 'room', 'hotel', 'reception area', 'ground floor', 'manager', 'design', 'hassle', 'room', 'fish tank', 'atmosphaire', 'one', '2', '1'], 'type': ['LOCATION', 'LOCATION', 'LOCATION', 'OTHER', 'CONSUMER_GOOD', 'WORK_OF_ART', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'LOCATION', 'LOCATION', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'NUMBER', 'NUMBER', 'NUMBER']}",-0.2,6.9
claudiac67,Pleasant stay. Rooms on the smaller size,"I stayed for two nigghts in the Kingsbury Hotel as part of a tour of Sri Lanka.  The reception, the restaurant and the common parts in general are very nice, clean, welcoming and well-kept. Both the reception area and the restaurant were superbly decorated for Christmas and the New Year. The room was nice but rather small. It had all amenities, but the impression was that it would benefit from a general refurbishment. Staff was helpful. Food was good and there was a good choice for both breakfast and dinner.",Date of stay: December 2018,"I stayed for two nigghts in the Kingsbury Hotel as part of a tour of Sri Lanka.  The reception, the restaurant and the common parts in general are very nice, clean, welcoming and well-kept. Both the reception area and the restaurant were superbly decorated for Christmas and the New Year. The room was nice but rather small. It had all amenities, but the impression was that it would benefit from a general refurbishment. Staff was helpful. Food was good and there was a good choice for both breakfast and dinner.","{'name': ['part', 'nigghts', 'Kingsbury Hotel', 'tour', 'Sri Lanka', 'restaurant', 'reception', 'reception area', 'restaurant', 'parts', 'room', 'impression', 'Staff', 'Food', 'refurbishment', 'the New Year', 'Christmas', 'choice', 'breakfast', 'dinner', 'amenities', 'two'], 'type': ['OTHER', 'OTHER', 'LOCATION', 'EVENT', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'EVENT', 'EVENT', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'NUMBER']}",0.4,3.7
Anson wong,Hotel security discrimination,"On January 14th I checked in at the Hilton and due to an error in my booking I have to cut my stay short and book in to Kingsbury on the 14 of January. The Hilton is only 3 minutes walking from the Hilton but I had a luggage and an elderly companion So we decided to take a three wheeler to avoid the scorching sun and lugging our large suitcases all the way against the traffic. On nearing the main entrance the three wheeler driver stop the short.  I motioned him to proceed to the main entrance for easier disembark . The Kingsbury security guard motioned that three wheelers are not allowed past this area . I told him I've suitcases and I'm going to check in. He was looking at me like. "" hey what's wrong with you.  He pointed to a signboard that says no tuk tuk beyond this point.",Date of stay: January 2019,"On January 14th I checked in at the Hilton and due to an error in my booking I have to cut my stay short and book in to Kingsbury on the 14 of January. The Hilton is only 3 minutes walking from the Hilton but I had a luggage and an elderly companion So we decided to take a three wheeler to avoid the scorching sun and lugging our large suitcases all the way against the traffic. On nearing the main entrance the three wheeler driver stop the short.  I motioned him to proceed to the main entrance for easier disembark . The Kingsbury security guard motioned that three wheelers are not allowed past this area . I told him I've suitcases and I'm going to check in. He was looking at me like. "" hey what's wrong with you.  He pointed to a signboard that says no tuk tuk beyond this point.","{'name': ['booking', 'Hilton', 'error', 'entrance', 'book', 'Kingsbury', 'security guard', 'driver', 'wheeler', 'signboard', 'suitcases', 'traffic', 'way', 'sun', 'luggage', 'companion', 'suitcases', 'tuk tuk', 'point', 'wheelers', 'disembark', 'area', 'January 14th', '14 of January', '14', 'three', 'three', '14', 'three', '3'], 'type': ['OTHER', 'LOCATION', 'OTHER', 'OTHER', 'WORK_OF_ART', 'PERSON', 'PERSON', 'PERSON', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'PERSON', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'PERSON', 'OTHER', 'LOCATION', 'DATE', 'DATE', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER']}",-0.3,3.8
Rangirocks,Great hotel,Great location in Colombo it is a very comfortable hotel . Rooms are a little small but very comfortable and the facilities are first class. As usual we found the staff very friendly and helpful. Food was very good,Date of stay: January 2019,Great location in Colombo it is a very comfortable hotel . Rooms are a little small but very comfortable and the facilities are first class. As usual we found the staff very friendly and helpful. Food was very good,"{'name': ['location', 'Colombo', 'hotel', 'class', 'Rooms', 'facilities', 'staff', 'Food'], 'type': ['LOCATION', 'LOCATION', 'LOCATION', 'PERSON', 'LOCATION', 'LOCATION', 'PERSON', 'OTHER']}",0.9,3.7
BETSAN,very nice hotel,"love the hotel,  we have just stayed at this again our third time for 5 days. The food and the staff are very friendly.  ideal location on the Galle front in Columbo. the only thing i did not like this time was the loud music everynight  from the Honey club pool bar every night. sunday lunch are a must here.",Date of stay: January 2019,"love the hotel,  we have just stayed at this again our third time for 5 days. The food and the staff are very friendly.  ideal location on the Galle front in Columbo. the only thing i did not like this time was the loud music everynight  from the Honey club pool bar every night. sunday lunch are a must here.","{'name': ['hotel', 'thing', 'location', 'front', 'staff', 'food', 'club pool bar', 'Galle', 'Columbo', 'lunch', 'Honey', 'music', '5'], 'type': ['LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'LOCATION', 'WORK_OF_ART', 'EVENT', 'WORK_OF_ART', 'WORK_OF_ART', 'NUMBER']}",0.6,4.0
Jayaseeli Christiansen,Superb Location,"My husband & I stayed in the hotel and celebrated Danish Christmas Dinner. We had Dinner in the Japanese Restaurant which was not that impressive food. In fact my husband got the Steak chopped into small pieces which he sent back to the kitchen. Hotel Room was a nice & cleaned. We enjoyed drinks in 2 bars which were also ok. Most of all we like the location since the hotel is located just in front of the Galle Face Green facing Indian Ocean. Sadly our day 1 was raining therefore we couldn’t enjoy a walk on the beautiful Galle Face Green. Breakfast was ok mixed with few cuisines but majority of the breakfast items were Indian & Sri Lankan, therefore for Westerners not that much good unless they like those food.",Date of stay: December 2018,"My husband & I stayed in the hotel and celebrated Danish Christmas Dinner. We had Dinner in the Japanese Restaurant which was not that impressive food. In fact my husband got the Steak chopped into small pieces which he sent back to the kitchen. Hotel Room was a nice & cleaned. We enjoyed drinks in 2 bars which were also ok. Most of all we like the location since the hotel is located just in front of the Galle Face Green facing Indian Ocean. Sadly our day 1 was raining therefore we couldn’t enjoy a walk on the beautiful Galle Face Green. Breakfast was ok mixed with few cuisines but majority of the breakfast items were Indian & Sri Lankan, therefore for Westerners not that much good unless they like those food.","{'name': ['husband', 'Dinner', 'Dinner', 'hotel', 'pieces', 'Danish', 'food', 'fact', 'hotel', 'bars', 'Galle Face Green', 'location', 'all', 'Most', 'kitchen', 'drinks', 'Westerners', 'Indian Ocean', 'front', 'Breakfast', 'Japanese Restaurant', 'Steak', 'breakfast items', 'cuisines', 'Hotel Room', 'food', 'majority', 'walk', 'Sri Lankan', '2', '1'], 'type': ['PERSON', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'CONSUMER_GOOD', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'CONSUMER_GOOD', 'OTHER', 'OTHER', 'ORGANIZATION', 'OTHER', 'PERSON', 'EVENT', 'LOCATION', 'NUMBER', 'NUMBER']}",0.0,4.6
Darnley J Van,Great Service by staff and Good Hotel,"A big thank you to the hotel staff for making my stay over 2 weeks enjoyable. All the staff are really friendly from reception staff to the restaurant staff.  Further, I did leave back some items on my departure but the hotel staff handled it professionally and ensure everything was returned to me.   Also a special thank you for the Chef Jayasuriya (I think I got it right) and the cleaning team on the 7th floor, (Chanka and team) who always talks to you and smiles at all times.   I must also state I noted several instances where the staff were treated badly by some guests (especially Indians) however they respected the customer and handled the issue professionally, It sad as everyone should be respected on what job they do.   Once again thank you, Team Kingsbury. Highly",Date of stay: December 2018,"A big thank you to the hotel staff for making my stay over 2 weeks enjoyable. All the staff are really friendly from reception staff to the restaurant staff.  Further, I did leave back some items on my departure but the hotel staff handled it professionally and ensure everything was returned to me.   Also a special thank you for the Chef Jayasuriya (I think I got it right) and the cleaning team on the 7th floor, (Chanka and team) who always talks to you and smiles at all times.   I must also state I noted several instances where the staff were treated badly by some guests (especially Indians) however they respected the customer and handled the issue professionally, It sad as everyone should be respected on what job they do.   Once again thank you, Team Kingsbury. Highly","{'name': ['Kingsbury', 'hotel staff', 'stay', 'staff', 'items', 'restaurant staff', 'reception staff', 'Indians', 'issue', 'hotel staff', 'team', 'cleaning team', 'everything', 'thank', 'departure', 'floor', 'instances', 'customer', 'job', 'Team', 'Chef Jayasuriya', 'everyone', 'Chanka', 'staff', 'times', '2', '7'], 'type': ['PERSON', 'PERSON', 'EVENT', 'PERSON', 'OTHER', 'PERSON', 'PERSON', 'PERSON', 'OTHER', 'PERSON', 'ORGANIZATION', 'ORGANIZATION', 'OTHER', 'OTHER', 'EVENT', 'LOCATION', 'OTHER', 'PERSON', 'OTHER', 'ORGANIZATION', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'OTHER', 'NUMBER', 'NUMBER']}",0.6,5.6
Debbiedaisyduke,"Fantastic food, friendly and great atmosphere","We weren't staying in the hotel but popped in for a drink and a bite at lunchtime and were made to feel extremely welcome even though my partner was in shorts (in contrast to many of the big hotels on this strip). We ate in the bar and I had a great spiced mango cocktail, my partner loved the cold beer, and we had a selection of tapas. Not cheap but tasty and in lovely environment with friendly staff.   Having has such a nice experience we returned for dinner (in long pants!) And had amazing steaks in The Grill - better cooked than many I've had in London. Finished off with a nightcap in the rooftop bar where a great singer was performing.   All in all a lovely, friendly experience with great food and cocktails. Warm atmosphere unlike sterile feel of many corporate hotels.",Date of stay: January 2019,"We weren't staying in the hotel but popped in for a drink and a bite at lunchtime and were made to feel extremely welcome even though my partner was in shorts (in contrast to many of the big hotels on this strip). We ate in the bar and I had a great spiced mango cocktail, my partner loved the cold beer, and we had a selection of tapas. Not cheap but tasty and in lovely environment with friendly staff.   Having has such a nice experience we returned for dinner (in long pants!) And had amazing steaks in The Grill - better cooked than many I've had in London. Finished off with a nightcap in the rooftop bar where a great singer was performing.   All in all a lovely, friendly experience with great food and cocktails. Warm atmosphere unlike sterile feel of many corporate hotels.","{'name': ['partner', 'hotel', 'drink', 'bite', 'lunchtime', 'hotels', 'many', 'contrast', 'shorts', 'strip', 'rooftop bar', 'mango cocktail', 'bar', 'beer', 'experience', 'selection', 'tapas', 'staff', 'environment', 'dinner', 'pants', 'All', 'nightcap', 'hotels', 'singer', 'cocktails', 'experience', 'food', 'atmosphere', 'feel', 'steaks', 'London'], 'type': ['PERSON', 'LOCATION', 'CONSUMER_GOOD', 'OTHER', 'EVENT', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'CONSUMER_GOOD', 'OTHER', 'EVENT', 'OTHER', 'PERSON', 'OTHER', 'OTHER', 'CONSUMER_GOOD', 'OTHER', 'EVENT', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'OTHER', 'LOCATION']}",0.9,7.3
Darrell P,Great Hotel,"Stayed here for 4 nights 30/12/18 to 3/01/19. Good location, excellent facilities and high standard of service especially in renovated floors and superior executive rooms. (Thank you for the complimentary upgrade). Great staff. Comfortable and clean rooms, nice pool and dining options. Not my first stay at Kingsbury. Like most SL hotels, peak period room rates are higher than comparable rates in other SE Asian destinations. Restaurant prices a bit on the high side. Minor comment - Noticed a few small cockroaches around the place, even in the spa room! Can be a common problem in tropical climates and not restricted to this hotel. Perhaps regular pest control will fix this before it gets out of hand. Will stay here again as it is a great property with excellent staff, facilities",Date of stay: January 2019,"Stayed here for 4 nights 30/12/18 to 3/01/19. Good location, excellent facilities and high standard of service especially in renovated floors and superior executive rooms. (Thank you for the complimentary upgrade). Great staff. Comfortable and clean rooms, nice pool and dining options. Not my first stay at Kingsbury. Like most SL hotels, peak period room rates are higher than comparable rates in other SE Asian destinations. Restaurant prices a bit on the high side. Minor comment - Noticed a few small cockroaches around the place, even in the spa room! Can be a common problem in tropical climates and not restricted to this hotel. Perhaps regular pest control will fix this before it gets out of hand. Will stay here again as it is a great property with excellent staff, facilities","{'name': ['location', 'executive rooms', 'facilities', 'standard', 'service', 'floors', 'rooms', 'hotels', 'staff', 'room rates', 'rates', 'stay', 'upgrade', 'dining options', 'pool', 'destinations', 'side', 'Restaurant prices', 'bit', 'hotel', 'climates', 'pest control', 'Kingsbury', 'SL', 'property', 'staff', 'facilities', 'SE Asian', 'hand', 'spa room', 'problem', 'place', 'cockroaches', '30/12/18', '3/01/19', '4', '18', '19', '30', '3', '12', '01'], 'type': ['LOCATION', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'LOCATION', 'LOCATION', 'LOCATION', 'PERSON', 'OTHER', 'OTHER', 'EVENT', 'OTHER', 'OTHER', 'LOCATION', 'LOCATION', 'OTHER', 'OTHER', 'OTHER', 'LOCATION', 'LOCATION', 'OTHER', 'PERSON', 'ORGANIZATION', 'OTHER', 'PERSON', 'LOCATION', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'LOCATION', 'OTHER', 'DATE', 'DATE', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER', 'NUMBER']}",0.1,7.5
